Word		Original_feature		Predicted_feature
शीतकाल		m		m
के		UNK		m
लिए		UNK		UNK
कपाट		m		m
बंद		any		m
होने		any		UNK
से		UNK		UNK
पूर्व		m		m
मंदिर		m		m
को		UNK		m
शानदार		any		m
तरीके		m		m
से		UNK		UNK
फूलों		m		m
से		UNK		UNK
सजाया		m		m
गया		m		m
।		UNK		UNK
लक्ष्मी		f		m
मंदिर		m		m
में		UNK		UNK
रावल		m		m
द्वारा		UNK		m
मां		f		m
लक्ष्मी		f		m
की		f		m
पूजा		f		m
के		UNK		m
बाद		m		m
नारीवेश		m		m
धारण		m		m
कर		any		m
लक्ष्मी		f		m
जी		UNK		m
की		f		m
मूर्ति		f		m
को		UNK		m
गर्भ		m		m
गृह		m		m
में		UNK		UNK
ले		m		UNK
जाया		m		m
गया		m		m
।		UNK		UNK
परंपरानुसार		m		m
माणा		m		m
की		f		m
कुमारी		f		m
कन्याओं		f		m
द्वारा		UNK		m
बुना		m		m
गया		m		m
धृत		m		UNK
कंबल		m		m
को		UNK		m
भगवान		m		m
के		m		m
विग्रह		m		m
पर		UNK		m
लपेटा		m		m
गया		m		m
।		UNK		UNK
इसके		m		m
बाद		m		m
शीतकाल		m		m
के		UNK		m
लिए		UNK		UNK
भगवान		m		m
बदरी		m		m
विशाल		m		m
के		m		m
कपाट		m		m
बंद		any		m
कर		m		m
दिए		m		m
गए		m		m
।		UNK		UNK
कपाट		m		m
बंद		any		m
होने		any		UNK
के		m		m
अवसर		m		m
पर		UNK		m
करीब		UNK		m
पांच		any		m
हजार		any		m
श्रद्धालुओं		m		m
ने		UNK		UNK
भगवान		m		m
बदरी		m		m
विशाल		m		m
के		m		m
दर्शन		m		m
किए		m		m
।		UNK		UNK
इस		any		m
मौके		m		m
पर		UNK		m
सेना		f		m
की		f		m
गढ़वाल		m		m
स्काउट		m		m
बटालियन		f		m
ने		UNK		UNK
शानदार		any		m
बैंड		m		m
धुन		f		m
बजाकर		any		m
श्रद्धालुओं		m		m
को		UNK		m
मंत्रमुग्ध		any		m
कर		any		m
दिया		m		m
।		UNK		UNK
मंदिर		m		m
समिति		f		m
के		m		m
अध्यक्ष		m		m
मौजूद		any		m
थे		m		m
।		UNK		UNK
मंदिर		m		m
के		m		m
कपाट		m		m
बंद		any		m
होने		any		UNK
के		m		m
अवसर		m		m
पर		UNK		m
श्री		m		m
बदरी		m		m
केदार		m		m
मंदिर		m		m
समिति		f		m
के		m		m
अध्यक्ष		m		m
डॉ.		m		m
अनसुया		any		m
प्रसाद		m		m
मैखुरी		m		m
,		UNK		UNK
मुख्य		any		m
कार्याधिकारी		m		m
पीएम		m		m
शर्मा		m		m
,		UNK		UNK
उप		any		m
मुख्य		any		m
कार्याधिकारी		m		m
जेपी		m		m
नंबूरी		m		m
,		UNK		UNK
विशेष		any		UNK
कार्याधिकारी		m		m
एलएन		m		m
सती		any		m
,		UNK		UNK
धर्माधिकारी		m		m
एवं		UNK		UNK
वेदपाठी		m		m
सहित		UNK		m
माणा		m		m
,		UNK		UNK
बामणी		m		m
,		UNK		UNK
NULL		UNK		UNK
पांडुकेश्वर		m		m
के		UNK		m
अलावा		UNK		m
अनेक		UNK		m
हक		m		m
हकूकधारी		any		m
समाज		m		m
के		m		m
प्रतिनिधि		m		m
मौजूद		any		m
थे		m		m
।		UNK		UNK
भारी		any		m
बारिश		f		m
के		m		m
कारण		m		m
दोनों		any		m
मार्गों		m		m
में		UNK		UNK
फिसलन		f		m
को		UNK		m
देखते		m		m
हुए		m		UNK
अधिकारियों		m		m
ने		UNK		UNK
यात्रा		f		m
स्थगित		any		m
कर		f		m
दी		f		m
थी		f		m
।		UNK		UNK
उधर		m		m
जम्मू		m		m
से		UNK		UNK
प्राप्त		any		m
रिपोर्ट		f		m
के		UNK		m
मुताबिक		UNK		m
बुधवार		m		m
को		UNK		m
एमएएम		m		m
स्थित		any		m
बेस		m		m
कैंप		m		m
से		UNK		UNK
यात्रियों		m		m
को		UNK		m
आगे		m		m
बढ़ने		any		m
की		f		m
इजाज़त		f		m
नहीं		UNK		m
दी		f		m
गई		f		m
।		UNK		UNK
नुनवान		m		m
व		UNK		UNK
बालटाल		m		m
बेस		m		m
कैंप		m		m
में		UNK		UNK
श्रद्धालुओं		m		m
की		f		m
भीड़		f		m
को		UNK		m
देखते		m		m
हुए		m		UNK
नए		m		UNK
जत्थे		m		m
को		UNK		m
आगे		m		m
बढ़ने		any		m
की		f		m
इजाज़त		f		m
नहीं		UNK		m
दी		f		m
गई		f		m
।		UNK		UNK
अब		UNK		m
तक		UNK		m
1.25		any		UNK
लाख		any		m
श्रद्धालुओं		m		m
ने		UNK		UNK
अमरनाथ		m		m
में		UNK		UNK
पवित्र		any		m
हिम		f		UNK
शिवलिंग		m		m
का		m		m
दर्शन		m		m
किया		m		m
है		any		m
।		UNK		UNK
भारत		m		m
ने		UNK		UNK
बांग्लादेश		m		m
को		UNK		m
भरोसा		m		m
दिलाया		m		m
कि		UNK		m
वह		any		UNK
नदियों		f		m
को		UNK		m
जोड़ने		any		m
की		f		m
योजना		f		m
पर		UNK		m
संबंधित		any		m
क्षेत्रीय		any		m
देशों		m		m
से		UNK		UNK
विचार		m		m
-		UNK		UNK
विमर्श		m		m
किए		any		m
बगैर		UNK		m
अमल		m		m
नहीं		UNK		m
करेगा		m		m
।		UNK		UNK
बांग्लादेश		m		m
के		m		m
विदेश		m		m
मंत्री		m		m
एम.		m		UNK
मुर्शीद		m		m
खान		m		m
के		m		m
हवाले		m		m
से		UNK		UNK
स्थानीय		any		m
मीडिया		f		m
ने		UNK		UNK
कहा		m		m
है		any		m
कि		UNK		m
भारत		m		m
जल		m		m
बँटवारा		m		m
प्रबंधन		m		m
के		m		m
क्षेत्रीय		any		m
सहयोग		m		m
पर		UNK		m
सहमत		any		m
है		any		m
और		UNK		m
दोनों		any		m
देशों		m		m
से		UNK		UNK
होकर		any		m
बहने		any		m
वाली		f		m
नदियों		f		m
पर		UNK		m
दिल्ली		f		m
की		f		m
नीति		f		m
में		UNK		UNK
बदलाव		m		m
आया		m		m
है		any		m
।		UNK		UNK
बैंकॉक		m		m
में		UNK		UNK
बिम्सटेक		m		m
सम्मेलन		m		m
के		UNK		m
दौरान		m		m
बांग्लादेश		m		m
की		f		m
प्रधानमंत्री		any		m
बेगम		f		m
खालिदा		f		m
जिया		m		m
और		UNK		m
भारत		m		m
के		m		m
प्रधानमंत्री		m		m
मनमोहन		m		m
सिंह		m		m
की		f		m
इस		any		m
मुद्दे		m		m
पर		UNK		m
बात		f		m
-		UNK		UNK
चीत		f		m
हुई		f		m
थी		f		m
।		UNK		UNK
बात		f		m
-		UNK		UNK
चीत		f		m
में		UNK		UNK
सिंह		m		m
ने		UNK		UNK
भरोसा		m		m
दिलाया		m		m
था		m		m
कि		UNK		m
भारत		m		m
इस		any		m
मुद्दे		m		m
पर		UNK		m
संबंधित		any		m
देशों		m		m
से		UNK		UNK
बात		f		m
-		UNK		UNK
चीत		f		m
के		UNK		m
बाद		m		m
ही		UNK		m
कोई		any		m
कदम		m		m
उठाएगा		m		m
।		UNK		UNK
खान		m		m
ने		UNK		UNK
कहा		m		m
कि		UNK		m
बांग्लादेश		m		m
हमेशा		UNK		m
से		UNK		m
ही		UNK		m
यह		any		UNK
अनुरोध		m		m
करता		m		m
आ		any		m
रहा		m		m
है		any		m
कि		UNK		m
जल		m		m
प्रबंधन		m		m
पर		UNK		m
सभी		UNK		m
देशों		m		m
को		UNK		m
मिलकर		any		m
काम		m		m
करना		m		m
चाहिए		any		m
।		UNK		UNK
खान		m		m
ने		UNK		UNK
कहा		m		m
कि		UNK		m
वह		any		UNK
समझते		m		m
हैं		any		m
कि		UNK		m
भारत		m		m
ने		UNK		UNK
उनके		m		m
प्रस्ताव		m		m
को		UNK		m
मंजूर		any		m
कर		m		m
लिया		m		m
है		any		m
।		UNK		UNK
खान		m		m
ने		UNK		UNK
कहा		m		m
कि		UNK		m
बंगाल		m		m
की		f		m
खाड़ी		f		m
में		UNK		UNK
गिरने		any		m
वाली		f		m
भारत		m		m
की		f		m
सभी		UNK		m
नदियाँ		f		m
बांग्लादेश		m		m
से		UNK		UNK
होकर		any		m
गुजरती		f		m
हैं		any		m
।		UNK		UNK
इन्हीं		any		m
नदियों		f		m
के		m		m
कारण		m		m
हर		UNK		UNK
साल		m		m
बाढ़		f		m
आती		f		m
है		any		m
।		UNK		UNK
इसके		any		m
अलावा		UNK		m
मनमोहन		m		m
सिंह		m		m
ने		UNK		UNK
वादा		m		m
किया		m		m
है		any		m
कि		UNK		m
भारत		m		m
बांग्लादेशी		any		m
सामानों		m		m
के		UNK		m
लिए		UNK		UNK
बड़ा		m		m
बाजार		m		m
उपलब्ध		any		m
कराता		m		m
रहेगा		m		m
।		UNK		UNK
इसके		any		m
साथ		m		m
ही		UNK		m
भारत		m		m
द्विपक्षीय		any		m
मुद्दों		m		m
पर		UNK		m
आपसी		any		m
विचार		m		m
-		UNK		UNK
विमर्श		m		m
के		UNK		m
बाद		m		m
ही		UNK		m
कदम		m		m
उठाएगा		m		m
।		UNK		UNK
खान		m		m
ने		UNK		UNK
सिंह		m		m
के		m		m
उस		any		m
बयान		m		m
का		m		m
स्वागत		m		m
किया		m		m
है		any		m
जिसमें		any		m
कहा		m		m
है		any		m
कि		UNK		m
बांग्लादेशी		any		m
घुसपैठियों		m		m
के		m		m
मामले		m		m
में		UNK		UNK
भारत		m		m
बिना		UNK		m
किसी		any		m
सुबूत		m		m
के		m		m
कार्रवाई		f		m
नहीं		UNK		m
करेगा		m		m
।		UNK		UNK
शहीद		m		m
-		UNK		UNK
ए		UNK		UNK
-		UNK		UNK
आजम		m		m
भगत		m		m
सिंह		m		m
,		UNK		UNK
राजगुरु		m		m
और		UNK		m
सुखदेव		m		m
को		UNK		m
उनके		any		m
शहादत		f		m
दिवस		m		m
के		m		m
मौके		m		m
पर		UNK		m
बुधवार		m		m
को		UNK		m
लोकसभा		f		m
में		UNK		UNK
श्रद्घांजलि		f		m
नहीं		UNK		m
देने		any		m
के		UNK		m
लिए		UNK		UNK
भाजपा		f		m
ने		UNK		UNK
प्रधानमंत्री		m		m
मनमोहन		m		m
सिंह		m		m
और		UNK		m
कांग्रेस		f		m
की		f		m
आलोचना		f		m
की		f		m
है		any		m
।		UNK		UNK
सभापति		m		m
भैरों		m		m
सिंह		m		m
शेखावत		m		m
ने		UNK		UNK
कहा		m		m
कि		UNK		m
उनकी		f		m
कुर्बानी		f		m
पर		UNK		m
पूरे		m		m
देश		m		m
को		UNK		m
गर्व		m		m
है		any		m
।		UNK		UNK
'		UNK		UNK
