Word		Original_feature		Predicted_feature
शीतकाल		sg		sg
के		UNK		sg
लिए		UNK		sg
कपाट		pl		sg
बंद		any		sg
होने		sg		sg
से		UNK		sg
पूर्व		sg		sg
मंदिर		sg		sg
को		UNK		sg
शानदार		any		sg
तरीके		sg		sg
से		UNK		sg
फूलों		pl		sg
से		UNK		sg
सजाया		sg		sg
गया		sg		sg
।		UNK		UNK
लक्ष्मी		sg		sg
मंदिर		sg		sg
में		UNK		UNK
रावल		sg		sg
द्वारा		UNK		sg
मां		sg		sg
लक्ष्मी		sg		sg
की		sg		sg
पूजा		sg		sg
के		UNK		sg
बाद		sg		sg
नारीवेश		sg		sg
धारण		sg		sg
कर		any		sg
लक्ष्मी		sg		sg
जी		UNK		sg
की		sg		sg
मूर्ति		sg		sg
को		UNK		sg
गर्भ		sg		sg
गृह		sg		sg
में		UNK		UNK
ले		sg		sg
जाया		sg		sg
गया		sg		sg
।		UNK		UNK
परंपरानुसार		sg		sg
माणा		sg		sg
की		sg		sg
कुमारी		pl		sg
कन्याओं		pl		sg
द्वारा		UNK		sg
बुना		sg		sg
गया		sg		sg
धृत		sg		sg
कंबल		sg		sg
को		UNK		sg
भगवान		sg		sg
के		sg		sg
विग्रह		sg		sg
पर		UNK		sg
लपेटा		sg		sg
गया		sg		sg
।		UNK		UNK
इसके		sg		sg
बाद		sg		sg
शीतकाल		sg		sg
के		UNK		sg
लिए		UNK		sg
भगवान		sg		sg
बदरी		sg		sg
विशाल		sg		sg
के		pl		sg
कपाट		pl		sg
बंद		any		sg
कर		pl		sg
दिए		pl		sg
गए		pl		sg
।		UNK		UNK
कपाट		pl		sg
बंद		any		sg
होने		sg		sg
के		sg		sg
अवसर		sg		sg
पर		UNK		sg
करीब		UNK		sg
पांच		any		sg
हजार		any		sg
श्रद्धालुओं		pl		sg
ने		UNK		sg
भगवान		sg		sg
बदरी		sg		sg
विशाल		sg		sg
के		sg		sg
दर्शन		sg		sg
किए		sg		sg
।		UNK		UNK
इस		sg		sg
मौके		sg		sg
पर		UNK		sg
सेना		sg		sg
की		sg		sg
गढ़वाल		sg		sg
स्काउट		sg		sg
बटालियन		sg		sg
ने		UNK		sg
शानदार		any		sg
बैंड		sg		sg
धुन		sg		sg
बजाकर		any		sg
श्रद्धालुओं		pl		sg
को		UNK		sg
मंत्रमुग्ध		any		sg
कर		sg		sg
दिया		sg		sg
।		UNK		UNK
मंदिर		sg		sg
समिति		sg		sg
के		sg		sg
अध्यक्ष		sg		sg
मौजूद		any		sg
थे		sg		sg
।		UNK		UNK
मंदिर		sg		sg
के		pl		sg
कपाट		pl		sg
बंद		any		sg
होने		sg		sg
के		sg		sg
अवसर		sg		sg
पर		UNK		sg
श्री		sg		sg
बदरी		sg		sg
केदार		sg		sg
मंदिर		sg		sg
समिति		sg		sg
के		sg		sg
अध्यक्ष		sg		sg
डॉ.		sg		sg
अनसुया		sg		sg
प्रसाद		sg		sg
मैखुरी		sg		sg
,		UNK		UNK
मुख्य		any		sg
कार्याधिकारी		sg		sg
पीएम		sg		sg
शर्मा		sg		sg
,		UNK		UNK
उप		any		sg
मुख्य		any		sg
कार्याधिकारी		sg		sg
जेपी		sg		sg
नंबूरी		sg		sg
,		UNK		UNK
विशेष		any		sg
कार्याधिकारी		sg		sg
एलएन		sg		sg
सती		sg		sg
,		UNK		UNK
धर्माधिकारी		sg		sg
एवं		UNK		sg
वेदपाठी		sg		sg
सहित		UNK		sg
माणा		sg		sg
,		UNK		UNK
बामणी		sg		sg
,		UNK		UNK
NULL		UNK		UNK
पांडुकेश्वर		sg		sg
के		UNK		sg
अलावा		UNK		sg
अनेक		UNK		sg
हक		sg		sg
हकूकधारी		any		sg
समाज		sg		sg
के		pl		sg
प्रतिनिधि		pl		sg
मौजूद		any		sg
थे		pl		sg
।		UNK		UNK
भारी		any		sg
बारिश		sg		sg
के		UNK		sg
कारण		UNK		sg
दोनों		pl		sg
मार्गों		pl		sg
में		UNK		UNK
