Word		Original_feature		Predicted_feature
शीतकाल		o		o
के		UNK		UNK
लिए		UNK		o
कपाट		d		d
बंद		UNK		UNK
होने		o		UNK
से		UNK		UNK
पूर्व		d		d
मंदिर		o		o
को		UNK		UNK
शानदार		o		o
तरीके		o		o
से		UNK		UNK
फूलों		o		o
से		UNK		UNK
सजाया		UNK		o
गया		UNK		o
।		UNK		UNK
लक्ष्मी		d		o
मंदिर		o		o
में		UNK		UNK
रावल		o		UNK
द्वारा		UNK		d
मां		d		UNK
लक्ष्मी		o		o
की		o		UNK
पूजा		o		o
के		UNK		UNK
बाद		d		d
नारीवेश		d		o
धारण		d		o
कर		UNK		UNK
लक्ष्मी		o		o
जी		UNK		UNK
की		o		UNK
मूर्ति		o		o
को		UNK		UNK
गर्भ		d		d
गृह		o		UNK
में		UNK		UNK
ले		UNK		UNK
जाया		UNK		UNK
गया		UNK		o
।		UNK		UNK
परंपरानुसार		d		o
माणा		o		d
की		o		UNK
कुमारी		o		d
कन्याओं		o		o
द्वारा		UNK		d
बुना		UNK		o
गया		UNK		o
धृत		d		UNK
कंबल		o		o
को		UNK		UNK
भगवान		o		d
के		o		UNK
विग्रह		o		d
पर		UNK		d
लपेटा		UNK		d
गया		UNK		o
।		UNK		UNK
इसके		o		o
बाद		d		d
शीतकाल		o		o
के		UNK		UNK
लिए		UNK		UNK
भगवान		d		d
बदरी		d		d
विशाल		o		o
के		d		UNK
कपाट		d		d
बंद		UNK		UNK
कर		UNK		UNK
दिए		UNK		o
गए		UNK		o
।		UNK		UNK
कपाट		d		d
बंद		UNK		UNK
होने		o		UNK
के		o		UNK
अवसर		o		UNK
पर		UNK		d
करीब		UNK		d
पांच		any		o
हजार		any		o
श्रद्धालुओं		o		o
ने		UNK		UNK
भगवान		d		d
बदरी		d		d
विशाल		o		o
के		d		UNK
दर्शन		d		o
किए		UNK		o
।		UNK		UNK
इस		o		o
मौके		o		UNK
पर		UNK		d
सेना		o		o
की		o		UNK
गढ़वाल		d		d
स्काउट		d		d
बटालियन		o		o
ने		UNK		UNK
शानदार		d		o
बैंड		d		d
धुन		d		o
बजाकर		UNK		d
श्रद्धालुओं		o		o
को		UNK		UNK
मंत्रमुग्ध		UNK		o
कर		UNK		UNK
दिया		UNK		o
।		UNK		UNK
मंदिर		d		o
समिति		o		o
के		d		UNK
अध्यक्ष		d		o
मौजूद		UNK		o
थे		UNK		UNK
।		UNK		UNK
मंदिर		o		o
के		d		UNK
कपाट		d		d
बंद		UNK		UNK
होने		o		UNK
के		o		UNK
अवसर		o		UNK
पर		UNK		d
श्री		d		UNK
बदरी		d		d
केदार		d		o
मंदिर		d		o
समिति		o		o
के		d		UNK
अध्यक्ष		d		o
डॉ.		d		UNK
अनसुया		d		o
प्रसाद		d		d
मैखुरी		d		o
,		UNK		UNK
मुख्य		d		o
कार्याधिकारी		d		o
पीएम		d		o
शर्मा		d		o
,		UNK		UNK
उप		d		d
मुख्य		d		o
कार्याधिकारी		d		o
जेपी		d		o
नंबूरी		d		o
,		UNK		UNK
