Word		Original_feature		Predicted_feature
शीतकाल		n		n
के		psp		n
लिए		psp		n
कपाट		n		n
बंद		adj		n
होने		v		v
से		psp		n
पूर्व		nst		n
मंदिर		n		n
को		psp		n
शानदार		adj		n
तरीके		n		n
से		psp		n
फूलों		n		n
से		psp		n
सजाया		v		n
गया		v		n
।		punc		n
लक्ष्मी		n		n
मंदिर		n		n
में		psp		n
रावल		n		n
द्वारा		psp		n
मां		n		n
लक्ष्मी		n		n
की		psp		n
पूजा		n		n
के		psp		n
बाद		nst		n
नारीवेश		n		n
धारण		n		n
कर		v		n
लक्ष्मी		n		n
जी		avy		n
की		psp		n
मूर्ति		n		n
को		psp		n
गर्भ		n		n
गृह		n		n
में		psp		n
ले		v		n
जाया		v		n
गया		v		n
।		punc		n
परंपरानुसार		n		n
माणा		n		n
की		psp		n
कुमारी		adj		n
कन्याओं		n		n
द्वारा		psp		n
बुना		v		n
गया		v		n
धृत		n		n
कंबल		n		n
को		psp		n
भगवान		n		n
के		psp		n
विग्रह		n		n
पर		psp		n
लपेटा		v		n
गया		v		n
।		punc		n
इसके		pn		n
बाद		nst		n
शीतकाल		n		n
के		psp		n
लिए		psp		n
भगवान		n		n
बदरी		n		n
विशाल		n		n
के		psp		n
कपाट		n		n
बंद		adj		n
कर		v		n
दिए		v		n
गए		v		n
।		punc		n
कपाट		n		n
बंद		adj		n
होने		v		v
के		psp		n
अवसर		n		n
पर		psp		n
करीब		avy		n
पांच		num		n
हजार		num		v
श्रद्धालुओं		n		n
ने		psp		n
भगवान		n		n
बदरी		n		n
विशाल		n		n
के		psp		n
दर्शन		n		n
किए		v		n
।		punc		n
इस		pn		n
मौके		n		n
पर		psp		n
सेना		n		n
की		psp		n
गढ़वाल		n		n
स्काउट		n		n
बटालियन		n		n
ने		psp		n
शानदार		adj		n
बैंड		n		n
धुन		n		n
बजाकर		v		n
श्रद्धालुओं		n		n
को		psp		n
मंत्रमुग्ध		adj		n
कर		v		n
दिया		v		n
।		punc		n
मंदिर		n		n
समिति		n		n
के		psp		n
अध्यक्ष		n		n
मौजूद		adj		n
थे		v		n
।		punc		n
मंदिर		n		n
के		psp		n
कपाट		n		n
बंद		adj		n
होने		v		v
के		psp		n
अवसर		n		n
पर		psp		n
श्री		n		n
बदरी		n		n
केदार		n		n
मंदिर		n		n
समिति		n		n
के		psp		n
अध्यक्ष		n		n
डॉ.		n		n
अनसुया		n		n
प्रसाद		n		n
मैखुरी		n		n
,		punc		n
मुख्य		adj		n
कार्याधिकारी		n		n
पीएम		n		n
शर्मा		n		n
,		punc		n
उप		adj		n
मुख्य		adj		n
कार्याधिकारी		n		n
जेपी		n		n
नंबूरी		n		n
,		punc		n
विशेष		adj		n
कार्याधिकारी		n		n
एलएन		n		n
सती		n		n
,		punc		n
धर्माधिकारी		n		n
एवं		avy		n
वेदपाठी		n		n
सहित		psp		n
माणा		n		n
,		punc		n
बामणी		n		n
,		punc		n
NULL		unk		n
पांडुकेश्वर		n		n
के		psp		n
अलावा		psp		n
अनेक		avy		n
हक		n		n
हकूकधारी		adj		n
समाज		n		n
के		psp		n
प्रतिनिधि		n		n
मौजूद		adj		n
थे		v		n
।		punc		n
भारी		adj		n
बारिश		n		n
के		psp		n
कारण		n		n
दोनों		num		n
मार्गों		n		n
में		psp		n
फिसलन		n		n
को		psp		n
देखते		v		n
हुए		v		v
अधिकारियों		n		n
ने		psp		n
यात्रा		n		n
स्थगित		adj		n
कर		v		n
दी		v		n
थी		v		n
।		punc		n
उधर		nst		n
जम्मू		n		n
से		psp		n
प्राप्त		adj		n
रिपोर्ट		n		n
के		psp		n
मुताबिक		psp		n
बुधवार		n		n
को		psp		n
एमएएम		n		n
स्थित		adj		n
बेस		n		n
कैंप		n		n
से		psp		n
यात्रियों		n		n
को		psp		n
आगे		nst		n
बढ़ने		v		n
