Word		Original_feature		Predicted_feature
शीतकाल		0		0
के		UNK		UNK
लिए		UNK		0
कपाट		0		0
बंद		UNK		UNK
होने		nA		UNK
से		UNK		0
पूर्व		UNK		0
मंदिर		0		0
को		UNK		UNK
शानदार		UNK		0
तरीके		0		0
से		UNK		UNK
फूलों		0		UNK
से		UNK		UNK
सजाया		yA		0
गया		yA1		0
।		UNK		UNK
लक्ष्मी		0		0
मंदिर		0		0
में		UNK		UNK
रावल		0		0
द्वारा		UNK		0
मां		0		0
लक्ष्मी		0		0
की		UNK		UNK
पूजा		0		0
के		UNK		UNK
बाद		UNK		0
नारीवेश		0		0
धारण		0		0
कर		0		UNK
लक्ष्मी		0		0
जी		UNK		UNK
की		UNK		UNK
मूर्ति		0		0
को		UNK		UNK
गर्भ		0		UNK
गृह		0		UNK
में		UNK		UNK
ले		0		UNK
जाया		yA		0
गया		yA1		0
।		UNK		UNK
परंपरानुसार		0		0
माणा		0		0
की		UNK		UNK
कुमारी		UNK		0
कन्याओं		0		0
द्वारा		UNK		0
बुना		yA		0
गया		yA1		0
धृत		0		UNK
कंबल		0		UNK
को		UNK		UNK
भगवान		0		0
के		UNK		UNK
विग्रह		0		0
पर		UNK		UNK
लपेटा		yA		0
गया		yA1		0
।		UNK		UNK
इसके		ke		0
बाद		UNK		0
शीतकाल		0		0
के		UNK		UNK
लिए		UNK		0
भगवान		0		0
बदरी		0		0
विशाल		0		0
के		UNK		UNK
कपाट		0		0
बंद		UNK		UNK
कर		0		UNK
दिए		yA		0
गए		yA1		UNK
।		UNK		UNK
कपाट		0		0
बंद		UNK		UNK
होने		nA		UNK
के		UNK		UNK
अवसर		0		0
पर		UNK		UNK
करीब		UNK		0
पांच		UNK		0
हजार		UNK		0
श्रद्धालुओं		0		0
ने		UNK		UNK
भगवान		0		0
बदरी		0		0
विशाल		0		0
के		UNK		UNK
दर्शन		0		0
किए		yA		UNK
।		UNK		UNK
इस		UNK		0
मौके		0		UNK
पर		UNK		UNK
सेना		0		0
की		UNK		UNK
गढ़वाल		0		0
स्काउट		0		0
बटालियन		0		0
ने		UNK		UNK
शानदार		UNK		0
बैंड		0		0
धुन		0		0
बजाकर		kara		0
श्रद्धालुओं		0		0
को		UNK		UNK
मंत्रमुग्ध		UNK		0
कर		0		UNK
दिया		yA		0
।		UNK		UNK
मंदिर		0		0
समिति		0		0
के		UNK		UNK
अध्यक्ष		0		0
मौजूद		UNK		0
थे		WA		UNK
।		UNK		UNK
मंदिर		0		0
के		UNK		UNK
कपाट		0		0
बंद		UNK		UNK
होने		nA		UNK
के		UNK		UNK
अवसर		0		0
पर		UNK		UNK
श्री		0		0
बदरी		0		0
केदार		0		0
मंदिर		0		0
समिति		0		0
के		UNK		UNK
अध्यक्ष		0		0
डॉ.		0		0
अनसुया		0		0
प्रसाद		0		0
मैखुरी		0		0
,		UNK		UNK
मुख्य		UNK		0
कार्याधिकारी		0		0
पीएम		0		UNK
शर्मा		0		0
,		UNK		UNK
उप		UNK		0
मुख्य		UNK		0
कार्याधिकारी		0		0
जेपी		0		UNK
नंबूरी		0		0
,		UNK		UNK
विशेष		UNK		0
कार्याधिकारी		0		0
एलएन		0		UNK
सती		0		0
,		UNK		UNK
धर्माधिकारी		0		0
एवं		UNK		UNK
वेदपाठी		0		0
सहित		UNK		0
माणा		0		0
,		UNK		UNK
बामणी		0		0
,		UNK		UNK
NULL		UNK		UNK
पांडुकेश्वर		0		0
के		UNK		UNK
अलावा		UNK		0
अनेक		UNK		UNK
हक		0		UNK
हकूकधारी		UNK		0
समाज		0		0
के		UNK		UNK
प्रतिनिधि		0		0
मौजूद		UNK		0
थे		WA		UNK
।		UNK		UNK
भारी		UNK		0
बारिश		0		0
के		UNK		UNK
कारण		UNK		0
दोनों		UNK		0
मार्गों		0		0
में		UNK		UNK
फिसलन		0		0
को		UNK		UNK
देखते		wA		UNK
हुए		yA		UNK
अधिकारियों		0		0
ने		UNK		UNK
यात्रा		0		0
स्थगित		UNK		0
कर		0		UNK
दी		yA		UNK
थी		WA		0
।		UNK		UNK
उधर		UNK		0
जम्मू		0		0
से		UNK		0
प्राप्त		UNK		0
रिपोर्ट		0		0
के		UNK		UNK
मुताबिक		UNK		0
बुधवार		0		0
को		UNK		UNK
एमएएम		0		UNK
स्थित		UNK		0
बेस		0		UNK
कैंप		0		UNK
से		UNK		UNK
यात्रियों		0		0
को		UNK		UNK
आगे		UNK		UNK
बढ़ने		nA		0
की		UNK		UNK
इजाज़त		0		0
नहीं		UNK		UNK
दी		yA		UNK
गई		yA1		UNK
।		UNK		UNK
नुनवान		0		0
व		UNK		UNK
बालटाल		0		0
बेस		0		UNK
कैंप		0		UNK
में		UNK		UNK
श्रद्धालुओं		0		0
की		UNK		UNK
भीड़		0		0
को		UNK		UNK
देखते		wA		UNK
हुए		yA		UNK
नए		UNK		UNK
जत्थे		0		0
को		UNK		UNK
आगे		UNK		UNK
बढ़ने		nA		0
की		UNK		UNK
इजाज़त		0		0
नहीं		UNK		UNK
दी		yA		UNK
गई		yA1		UNK
।		UNK		UNK
अब		UNK		UNK
तक		UNK		UNK
1.25		UNK		UNK
लाख		UNK		0
श्रद्धालुओं		0		0
ने		UNK		UNK
अमरनाथ		0		0
में		UNK		UNK
पवित्र		UNK		0
हिम		0		UNK
शिवलिंग		0		0
का		UNK		0
दर्शन		0		0
किया		yA		0
है		hE		UNK
।		UNK		UNK
भारत		0		0
ने		UNK		UNK
बांग्लादेश		0		0
को		UNK		UNK
भरोसा		0		0
दिलाया		yA		0
कि		UNK		UNK
वह		0		UNK
नदियों		0		0
को		UNK		UNK
जोड़ने		nA		0
की		UNK		UNK
योजना		0		0
पर		UNK		UNK
संबंधित		UNK		0
क्षेत्रीय		UNK		0
देशों		0		0
से		UNK		UNK
विचार		0		0
-		UNK		UNK
विमर्श		0		0
किए		yA		UNK
बगैर		UNK		0
अमल		0		0
नहीं		UNK		UNK
करेगा		gA		0
।		UNK		UNK
बांग्लादेश		0		0
के		UNK		UNK
विदेश		0		0
मंत्री		0		0
एम.		0		UNK
मुर्शीद		0		0
खान		0		0
के		UNK		UNK
हवाले		UNK		0
से		UNK		0
स्थानीय		UNK		0
मीडिया		0		0
ने		UNK		UNK
कहा		yA		0
है		hE		UNK
कि		UNK		UNK
भारत		0		0
जल		0		0
बँटवारा		0		0
प्रबंधन		0		0
के		UNK		UNK
क्षेत्रीय		UNK		0
सहयोग		0		0
पर		UNK		UNK
सहमत		UNK		0
है		hE		UNK
और		UNK		0
दोनों		UNK		0
देशों		0		0
से		UNK		0
होकर		kara		UNK
बहने		nA		UNK
वाली		UNK		0
नदियों		0		0
पर		UNK		UNK
दिल्ली		0		0
की		UNK		UNK
नीति		0		0
में		UNK		UNK
बदलाव		0		0
आया		yA		0
