Word		Original_feature		Predicted_feature
صدر		sg		sg
تلگودیشم		sg		sg
مسٹر		UNK		sg
این		sg		sg
چندرا		sg		sg
بابو		sg		sg
نائیڈو		sg		sg
نے		UNK		sg
کڑپہ		sg		sg
کے		sg		sg
ضمنی		any		sg
انتخابات		pl		sg
مےں		UNK		sg
اضافی		any		sg
فورسیس		pl		sg
کی		sg		sg
تعیناتی		sg		sg
کا		sg		sg
مطالبہ		sg		sg
کرتے		any		sg
ہوئے		any		sg
چیف		sg		sg
الیکشن		sg		sg
کمشنر		sg		sg
کو		UNK		sg
مکتوب		sg		sg
روانہ		any		sg
کیا		sg		sg
۔		UNK		sg
انہوں		sg		sg
نے		UNK		sg
کڑپہ		sg		sg
کے		sg		sg
پارلیمانی		any		sg
اور		UNK		sg
پولی		sg		sg
ویندلہ		sg		sg
کے		sg		sg
اسمبلی		any		sg
انتخابات		pl		sg
کو		UNK		sg
صاف		any		sg
و		UNK		sg
شفاف		any		sg
بنانے		any		sg
کے		UNK		sg
لئے		UNK		sg
زائد		any		sg
پولیس		sg		sg
فورس		sg		sg
تعینات		sg		sg
کرنے		any		sg
کا		sg		sg
مطالبہ		sg		sg
کرتے		any		sg
ہوئے		any		sg
کہا		sg		sg
کہ		UNK		sg
ان		pl		sg
انتخابات		pl		sg
مےں		UNK		sg
غیرسماجی		any		sg
عناصر		pl		sg
کی		sg		sg
جانب		sg		sg
سے		UNK		sg
بدامنی		sg		sg
پھیلائے		any		sg
جانے		any		sg
کا		sg		sg
خدشہ		sg		sg
ہے		sg		sg
۔		UNK		sg
مسٹر		UNK		sg
نائیڈو		sg		sg
نے		UNK		sg
اپنے		sg		sg
مکتوب		sg		sg
مےں		UNK		sg
چیف		sg		sg
الیکشن		sg		sg
کمشنر		sg		sg
سے		UNK		sg
NULL		UNK		sg
خواہش		sg		sg
کی		sg		sg
کہ		UNK		sg
وہ		sg		sg
ہر		any		sg
حلقہ		sg		sg
اسمبلی		sg		sg
مےں		UNK		sg
علحدہ		any		sg
علحدہ		any		sg
فورس		sg		sg
کی		sg		sg
تعیناتی		sg		sg
کو		UNK		sg
یقینی		any		sg
بنانے		any		sg
کے		sg		sg
اقدامات		sg		sg
کریں		pl		sg
تاکہ		UNK		sg
آزادانہ		any		sg
و		UNK		sg
منصفانہ		any		sg
انتخابات		pl		sg
کو		UNK		sg
یقینی		any		sg
بنایا		sg		sg
جا		any		sg
سکے		pl		sg
۔		UNK		sg
NULL		any		sg
واضح		any		sg
رہے		pl		sg
کہ		UNK		sg
گزشتہ		any		sg
یوم		sg		sg
مسٹر		UNK		sg
نائیڈو		sg		sg
پر		UNK		sg
ضلع		sg		sg
کڑپہ		sg		sg
مےں		UNK		sg
ہوئے		any		sg
حملہ		sg		sg
کے		UNK		sg
بعد		sg		sg
مسٹر		UNK		sg
نائیڈو		sg		sg
نے		UNK		sg
اس		sg		sg
طرح		sg		sg
کے		sg		sg
واقعات		pl		sg
کا		sg		sg
حوالہ		sg		sg
دیتے		any		sg
ہوئے		any		sg
کہا		sg		sg
کہ		UNK		sg
ضلع		sg		sg
کڑپہ		sg		sg
مےں		UNK		sg
گروہ_واری		any		sg
عناصر		pl		sg
انتخابات		pl		sg
مےں		UNK		sg
دھاندلیوں		pl		sg
کی		sg		sg
منصوبہ_بندی		sg		sg
کر		any		sg
رہے		pl		sg
ہیں		pl		sg
۔		UNK		sg
انہوں		sg		sg
نے		UNK		sg
بتایا		sg		sg
کہ		UNK		sg
جمہوریت		sg		sg
کی		sg		sg
بقاء		sg		sg
کے		UNK		sg
لئے		UNK		sg
یہ		sg		sg
ضروری		any		sg
ہے		sg		sg
کہ		UNK		sg
چیف		sg		sg
الیکشن		sg		sg
کمشنر		sg		sg
کی		sg		sg
جانب		sg		sg
سے		UNK		sg
ان		pl		sg
انتخابات		pl		sg
کی		sg		sg
راست		any		sg
نگرانی		sg		sg
اور		UNK		sg
غنڈہ		any		sg
عناصر		pl		sg
پر		UNK		sg
کنٹرول		sg		sg
کے		UNK		sg
لئے		UNK		sg
سخت_ترین		any		sg
انتظامات		pl		sg
کئے		pl		sg
جائیں		pl		sg
۔		UNK		sg
مسٹر		UNK		sg
نائیڈو		sg		sg
نے		UNK		sg
سی		sg		sg
ای		sg		sg
سی		sg		sg
کو		UNK		sg
روانہ_کردہ		any		sg
مکتوب		sg		sg
مےں		UNK		sg
اس		sg		sg
بات		sg		sg
کی		sg		sg
طرف		sg		sg
بھی		UNK		sg
اشارہ		sg		sg
کیا		sg		sg
کہ		UNK		sg
علاقے		sg		sg
مےں		UNK		sg
وائی		sg		sg
ایس		sg		sg
جگن		sg		sg
موہن		sg		sg
ریڈی		sg		sg
کی		sg		sg
جانب		sg		sg
سے		UNK		sg
بدعنوانیوں		pl		sg
و		UNK		sg
بےقاعدگیوں		pl		sg
کے		UNK		sg
ذریعہ		UNK		sg
حاصل_کردہ		any		sg
دولت		sg		sg
کے		sg		sg
استعمال		sg		sg
کے		UNK		sg
ذریعہ		UNK		sg
رائےدہندوں		pl		sg
کو		UNK		sg
راغب		any		sg
کرنے		any		sg
کی		sg		sg
کوشش		sg		sg
کی		sg		sg
جا		any		sg
رہی		sg		sg
ہے		sg		sg
جو		sg		sg
کہ		UNK		sg
انتخابی		any		sg
ضابطہ		sg		sg
اخلاق		sg		sg
کی		sg		sg
سنگین		any		sg
خلاف_ورزی		sg		sg
ہے		sg		sg
-		UNK		sg
برقی		any		sg
شاک		sg		sg
کی		sg		sg
زد		sg		sg
مےں		UNK		sg
آ		any		sg
کر		any		sg
اےک		any		sg
11		any		sg
سالہ		any		sg
لڑکی		sg		sg
سجانا		sg		sg
ہلاک		any		sg
ہو		any		sg
گئی		sg		sg
NULL		UNK		sg
واقعہ		sg		sg
نریڈ		sg		sg
میٹ		sg		sg
پولیس		sg		sg
اسٹیشن		sg		sg
حدود		sg		sg
مےں		UNK		sg
کل		sg		sg
شام		sg		sg
پیش		sg		sg
آیا		sg		sg
۔		UNK		sg
نریڈمیڈ		sg		sg
کے		sg		sg
ساکن		any		sg
وینکٹیش		sg		sg
کی		sg		sg
لڑکی		sg		sg
سجاتا		sg		sg
6		any		sg
ویں		UNK		sg
جماعت		sg		sg
مےں		UNK		sg
تعلیم		sg		sg
حاصل		sg		sg
کر		any		sg
رہی		sg		sg
تھی		sg		sg
