Word		Original_feature		Predicted_feature
صدر		o		UNK
تلگودیشم		o		UNK
مسٹر		UNK		UNK
این		d		UNK
چندرا		d		UNK
بابو		d		UNK
نائیڈو		o		UNK
نے		UNK		UNK
کڑپہ		o		UNK
کے		o		UNK
ضمنی		o		UNK
انتخابات		o		UNK
مےں		UNK		UNK
اضافی		o		UNK
فورسیس		o		UNK
کی		o		UNK
تعیناتی		o		UNK
کا		d		UNK
مطالبہ		d		UNK
کرتے		UNK		UNK
ہوئے		UNK		UNK
چیف		d		UNK
الیکشن		d		UNK
کمشنر		o		UNK
کو		UNK		UNK
مکتوب		d		UNK
روانہ		any		UNK
کیا		UNK		UNK
۔		UNK		UNK
انہوں		o		UNK
نے		UNK		UNK
کڑپہ		o		UNK
کے		d		UNK
پارلیمانی		o		UNK
اور		UNK		UNK
پولی		d		UNK
ویندلہ		o		UNK
کے		o		UNK
اسمبلی		o		UNK
انتخابات		o		UNK
کو		UNK		UNK
صاف		d		UNK
و		UNK		UNK
شفاف		d		UNK
بنانے		o		UNK
کے		UNK		UNK
لئے		UNK		UNK
زائد		d		UNK
پولیس		d		UNK
فورس		o		UNK
تعینات		d		UNK
کرنے		o		UNK
کا		d		UNK
مطالبہ		d		UNK
کرتے		UNK		UNK
ہوئے		UNK		UNK
کہا		UNK		UNK
کہ		UNK		UNK
ان		o		UNK
انتخابات		o		UNK
مےں		UNK		UNK
غیرسماجی		o		UNK
عناصر		o		UNK
کی		o		UNK
جانب		o		UNK
سے		UNK		UNK
بدامنی		o		UNK
پھیلائے		UNK		UNK
جانے		o		UNK
کا		d		UNK
خدشہ		d		UNK
ہے		UNK		UNK
۔		UNK		UNK
مسٹر		UNK		UNK
نائیڈو		o		UNK
نے		UNK		UNK
اپنے		o		UNK
مکتوب		o		UNK
مےں		UNK		UNK
چیف		d		UNK
الیکشن		d		UNK
کمشنر		o		UNK
سے		UNK		UNK
NULL		UNK		UNK
خواہش		o		UNK
کی		UNK		UNK
کہ		UNK		UNK
وہ		d		UNK
ہر		o		UNK
حلقہ		d		UNK
اسمبلی		o		UNK
مےں		UNK		UNK
علحدہ		o		UNK
علحدہ		o		UNK
فورس		o		UNK
کی		o		UNK
تعیناتی		o		UNK
کو		UNK		UNK
یقینی		o		UNK
بنانے		o		UNK
کے		d		UNK
اقدامات		o		UNK
کریں		UNK		UNK
تاکہ		UNK		UNK
آزادانہ		o		UNK
و		UNK		UNK
منصفانہ		o		UNK
انتخابات		o		UNK
کو		UNK		UNK
یقینی		UNK		UNK
بنایا		UNK		UNK
جا		UNK		UNK
سکے		UNK		UNK
۔		UNK		UNK
NULL		UNK		UNK
واضح		UNK		UNK
رہے		UNK		UNK
کہ		UNK		UNK
گزشتہ		d		UNK
یوم		d		UNK
مسٹر		UNK		UNK
نائیڈو		o		UNK
پر		UNK		UNK
ضلع		o		UNK
کڑپہ		o		UNK
مےں		UNK		UNK
ہوئے		UNK		UNK
حملہ		o		UNK
کے		UNK		UNK
بعد		d		UNK
مسٹر		UNK		UNK
نائیڈو		o		UNK
نے		UNK		UNK
اس		o		UNK
طرح		o		UNK
کے		o		UNK
واقعات		o		UNK
کا		d		UNK
حوالہ		d		UNK
دیتے		UNK		UNK
ہوئے		UNK		UNK
کہا		UNK		UNK
کہ		UNK		UNK
ضلع		o		UNK
کڑپہ		o		UNK
مےں		UNK		UNK
گروہ_واری		d		UNK
عناصر		o		UNK
انتخابات		o		UNK
مےں		UNK		UNK
دھاندلیوں		o		UNK
کی		d		UNK
منصوبہ_بندی		d		UNK
کر		UNK		UNK
رہے		UNK		UNK
ہیں		UNK		UNK
۔		UNK		UNK
انہوں		o		UNK
نے		UNK		UNK
بتایا		UNK		UNK
کہ		UNK		UNK
جمہوریت		o		UNK
کی		o		UNK
بقاء		o		UNK
کے		UNK		UNK
لئے		UNK		UNK
یہ		d		UNK
ضروری		UNK		UNK
ہے		UNK		UNK
کہ		UNK		UNK
چیف		d		UNK
الیکشن		d		UNK
کمشنر		o		UNK
کی		o		UNK
جانب		o		UNK
سے		UNK		UNK
ان		o		UNK
انتخابات		o		UNK
کی		d		UNK
راست		o		UNK
نگرانی		o		UNK
اور		UNK		UNK
غنڈہ		o		UNK
عناصر		o		UNK
پر		UNK		UNK
کنٹرول		o		UNK
کے		UNK		UNK
لئے		UNK		UNK
سخت_ترین		d		UNK
انتظامات		d		UNK
کئے		UNK		UNK
جائیں		UNK		UNK
۔		UNK		UNK
مسٹر		UNK		UNK
نائیڈو		o		UNK
نے		UNK		UNK
سی		d		UNK
ای		d		UNK
سی		o		UNK
کو		UNK		UNK
روانہ_کردہ		o		UNK
مکتوب		o		UNK
مےں		UNK		UNK
اس		o		UNK
بات		o		UNK
کی		o		UNK
طرف		d		UNK
بھی		UNK		UNK
اشارہ		d		UNK
کیا		UNK		UNK
کہ		UNK		UNK
علاقے		o		UNK
مےں		UNK		UNK
وائی		d		UNK
ایس		d		UNK
جگن		d		UNK
موہن		d		UNK
ریڈی		o		UNK
کی		o		UNK
جانب		o		UNK
سے		UNK		UNK
بدعنوانیوں		o		UNK
و		UNK		UNK
بےقاعدگیوں		o		UNK
کے		UNK		UNK
ذریعہ		d		UNK
حاصل_کردہ		o		UNK
دولت		o		UNK
کے		o		UNK
استعمال		o		UNK
کے		UNK		UNK
ذریعہ		d		UNK
رائےدہندوں		o		UNK
کو		UNK		UNK
راغب		o		UNK
کرنے		o		UNK
کی		d		UNK
کوشش		d		UNK
کی		UNK		UNK
جا		UNK		UNK
رہی		UNK		UNK
ہے		UNK		UNK
جو		d		UNK
کہ		UNK		UNK
انتخابی		o		UNK
ضابطہ		o		UNK
اخلاق		o		UNK
کی		d		UNK
سنگین		d		UNK
خلاف_ورزی		d		UNK
ہے		UNK		UNK
-		UNK		UNK
برقی		o		UNK
شاک		o		UNK
کی		o		UNK
زد		o		UNK
مےں		UNK		UNK
آ		UNK		UNK
کر		UNK		UNK
اےک		any		UNK
11		any		UNK
سالہ		d		UNK
لڑکی		d		UNK
سجانا		d		UNK
ہلاک		UNK		UNK
ہو		UNK		UNK
گئی		UNK		UNK
NULL		UNK		UNK
واقعہ		d		UNK
نریڈ		d		UNK
میٹ		d		UNK
پولیس		d		UNK
اسٹیشن		o		UNK
حدود		o		UNK
مےں		UNK		UNK
کل		d		UNK
شام		d		UNK
پیش		d		UNK
آیا		UNK		UNK
۔		UNK		UNK
نریڈمیڈ		o		UNK
کے		d		UNK
ساکن		o		UNK
وینکٹیش		o		UNK
کی		d		UNK
لڑکی		d		UNK
سجاتا		d		UNK
6		any		UNK
ویں		UNK		UNK
جماعت		o		UNK
مےں		UNK		UNK
تعلیم		d		UNK
حاصل		d		UNK
کر		UNK		UNK
رہی		UNK		UNK
تھی		UNK		UNK
جو		d		UNK
کل		d		UNK
شام		d		UNK
اپنے		d		UNK
مکان		o		UNK
مےں		UNK		UNK
