Word		Original_feature		Predicted_feature
صدر		n		n
تلگودیشم		n		n
مسٹر		avy		n
این		n		n
چندرا		n		n
بابو		n		n
نائیڈو		n		n
نے		psp		n
کڑپہ		n		n
کے		psp		n
ضمنی		adj		n
انتخابات		n		n
مےں		psp		n
اضافی		adj		n
فورسیس		n		n
کی		psp		n
تعیناتی		n		n
کا		psp		n
مطالبہ		n		n
کرتے		v		n
ہوئے		v		n
چیف		n		n
الیکشن		n		n
کمشنر		n		n
کو		psp		n
مکتوب		n		n
روانہ		adj		n
کیا		v		n
۔		punc		n
انہوں		n		n
نے		psp		n
کڑپہ		n		n
کے		psp		n
پارلیمانی		adj		n
اور		avy		n
پولی		n		n
ویندلہ		n		n
کے		psp		n
اسمبلی		adj		n
انتخابات		n		n
کو		psp		n
صاف		adj		n
و		avy		n
شفاف		adj		n
بنانے		v		n
کے		psp		n
لئے		psp		n
زائد		adj		n
پولیس		n		n
فورس		n		n
تعینات		n		n
کرنے		v		n
کا		psp		n
مطالبہ		n		n
کرتے		v		n
ہوئے		v		n
کہا		v		n
کہ		avy		n
ان		pn		n
انتخابات		n		n
مےں		psp		n
غیرسماجی		adj		n
عناصر		n		n
کی		psp		n
جانب		nst		n
سے		psp		n
بدامنی		n		n
پھیلائے		v		n
جانے		v		n
کا		psp		n
خدشہ		n		n
ہے		v		n
۔		punc		n
مسٹر		avy		n
نائیڈو		n		n
نے		psp		n
اپنے		pn		n
مکتوب		n		n
مےں		psp		n
چیف		n		n
الیکشن		n		n
کمشنر		n		n
سے		psp		n
NULL		unk		n
خواہش		n		n
کی		v		n
کہ		avy		n
وہ		pn		n
ہر		adj		n
حلقہ		n		n
اسمبلی		n		n
مےں		psp		n
علحدہ		adj		n
علحدہ		adj		n
فورس		n		n
کی		psp		n
تعیناتی		n		n
کو		psp		n
یقینی		adj		n
بنانے		v		n
کے		psp		n
اقدامات		n		n
کریں		v		n
تاکہ		avy		n
آزادانہ		adj		n
و		avy		n
منصفانہ		adj		n
انتخابات		n		n
کو		psp		n
یقینی		adj		n
بنایا		v		n
جا		v		n
سکے		v		n
۔		punc		n
NULL		adj		n
واضح		adj		n
رہے		v		n
کہ		avy		n
گزشتہ		adj		n
یوم		n		n
مسٹر		avy		n
نائیڈو		n		n
پر		psp		n
ضلع		n		n
کڑپہ		n		n
مےں		psp		n
ہوئے		v		n
حملہ		n		n
کے		psp		n
بعد		nst		n
مسٹر		avy		n
نائیڈو		n		n
نے		psp		n
اس		pn		n
طرح		n		n
کے		psp		n
واقعات		n		n
کا		psp		n
حوالہ		n		n
دیتے		v		n
ہوئے		v		n
کہا		v		n
کہ		avy		n
ضلع		n		n
کڑپہ		n		n
مےں		psp		n
گروہ_واری		adj		n
عناصر		n		n
انتخابات		n		n
مےں		psp		n
دھاندلیوں		n		n
کی		psp		n
منصوبہ_بندی		n		n
کر		v		n
رہے		v		n
ہیں		v		n
۔		punc		n
انہوں		pn		n
نے		psp		n
بتایا		v		n
کہ		avy		n
جمہوریت		n		n
کی		psp		n
بقاء		n		n
کے		psp		n
لئے		psp		n
یہ		pn		n
ضروری		adj		n
ہے		v		n
کہ		avy		n
چیف		n		n
الیکشن		n		n
کمشنر		n		n
کی		psp		n
جانب		n		n
سے		psp		n
ان		pn		n
انتخابات		n		n
کی		psp		n
راست		adj		n
نگرانی		n		n
اور		avy		n
غنڈہ		adj		n
عناصر		n		n
پر		psp		n
کنٹرول		n		n
کے		psp		n
لئے		psp		n
سخت_ترین		adj		n
انتظامات		n		n
کئے		v		n
جائیں		v		n
۔		punc		n
مسٹر		avy		n
نائیڈو		n		n
نے		psp		n
سی		n		n
ای		n		n
سی		n		n
کو		psp		n
روانہ_کردہ		adj		n
مکتوب		n		n
مےں		psp		n
اس		pn		n
بات		n		n
کی		psp		n
طرف		nst		n
بھی		avy		n
اشارہ		n		n
کیا		v		n
کہ		avy		n
علاقے		n		n
مےں		psp		n
وائی		n		n
ایس		n		n
جگن		n		n
موہن		n		n
ریڈی		n		n
کی		psp		n
جانب		nst		n
سے		psp		n
بدعنوانیوں		n		n
و		avy		n
بےقاعدگیوں		n		n
کے		psp		n
ذریعہ		n		n
حاصل_کردہ		adj		n
دولت		n		n
کے		psp		n
استعمال		n		n
کے		psp		n
ذریعہ		n		n
رائےدہندوں		n		n
کو		psp		n
راغب		adj		n
کرنے		v		n
کی		psp		n
کوشش		n		n
کی		v		n
جا		v		n
رہی		v		n
ہے		v		n
جو		pn		n
کہ		avy		n
انتخابی		adj		n
ضابطہ		n		n
اخلاق		n		n
کی		psp		n
سنگین		adj		n
خلاف_ورزی		n		n
ہے		v		n
-		punc		n
برقی		adj		n
شاک		n		n
کی		psp		n
زد		n		n
مےں		psp		n
آ		v		n
کر		v		n
اےک		num		n
11		num		n
سالہ		adj		n
لڑکی		n		n
سجانا		n		n
ہلاک		adj		n
ہو		v		n
گئی		v		n
NULL		unk		n
واقعہ		n		n
نریڈ		n		n
میٹ		n		n
پولیس		n		n
اسٹیشن		n		n
حدود		n		n
مےں		psp		n
کل		n		n
شام		n		n
پیش		nst		n
آیا		v		n
۔		punc		n
نریڈمیڈ		n		n
کے		psp		n
ساکن		adj		n
وینکٹیش		n		n
کی		psp		n
لڑکی		n		n
سجاتا		n		n
6		num		n
ویں		avy		n
جماعت		n		n
مےں		psp		n
تعلیم		n		n
حاصل		n		n
کر		v		n
رہی		v		n
تھی		v		n
جو		pn		n
کل		n		n
شام		n		n
اپنے		pn		n
مکان		n		n
مےں		psp		n
کام		n		n
کاج		n		n
کے		psp		n
دوران		nst		n
برقی		adj		n
شاک		n		n
کی		psp		n
زد		n		n
مےں		psp		n
آ		v		n
گئی		v		n
۔		punc		n
لڑکی		n		n
کو		psp		n
فوری		adj		n
طور		n		n
پر		psp		n
قریبی		adj		n
ہاسپٹل		n		n
سے		psp		n
رجوع		n		n
کیا		v		n
گیا		v		n
جہاں		pn		n
دوران		nst		n
علاج		n		n
وہ		pn		n
فوت		n		n
ہو		v		n
گئی		v		n
۔		punc		n
پولیس		n		n
نریڈ		n		n
میٹ		n		n
نے		psp		n
مقدمہ		n		n
درج		adj		n
کر		v		n
لیا		v		n
ہے		v		n
اور		avy		n
تحقیقات		n		n
جاری		adj		n
ہےں		v		n
۔		punc		n
اےک		num		n
شخص		n		n
نے		psp		n
مبینہ		adj		n
طور		n		n
پر		psp		n
اپنی		pn		n
منگیتر		n		n
اور		avy		n
اس		pn		n
کے		psp		n
والدین		n		n
پر		psp		n
چاقو		n		n
سے		psp		n
حملہ		n		n
کر		v		n
کے		psp		n
زخمی		adj		n
کر		v		n
دیا		v		n
۔		punc		n
پولیس		n		n
نے		psp		n
بتایا		v		n
کہ		avy		n
نوجوان		adj		n
لڑکی		n		n
کی		psp		n
پاک_دامنی		n		n
پر		psp		n
شبہ		n		n
کرتے		v		n
ہوئے		v		n
حملہ		n		n
کیا		v		n
۔		punc		n
ڈی		n		n
بھارت		n		n
کرشنا		n		n
خانگی		adj		n
ملازم		n		n
جو		pn		n
24		num		n
سالہ		adj		n
خاتون		n		n
فروین		n		n
صنم		n		n
متعلم		adj		n
ایم		n		n
کام		n		n
سے		psp		n
عشق		n		n
کرتا		v		n
تھا		v		n
۔		punc		n
دونوں		n		n
کے		psp		n
ارکان		n		n
خاندان		n		n
ان		pn		n
کی		psp		n
اس		pn		n
سال		n		n
فبروری		n		n
مےں		psp		n
منگنی		n		n
کرنے		v		n
کے		psp		n
بعد		nst		n
شادی		n		n
سے		psp		n
اتفاق		n		n
کیا		v		n
تھا		v		n
اور		avy		n
21		n		n
مئی		n		n
کو		psp		n
شادی		n		n
مقرر		adj		n
تھی		v		n
۔		punc		n
تاہم		avy		n
بھارت		n		n
کرشنا		n		n
کو		psp		n
اپنی		pn		n
منگیتر		n		n
کے		psp		n
چال		n		n
و		avy		n
چلن		n		n
پر		psp		n
شبہ		n		n
ہوا		v		n
اور		avy		n
الزام		n		n
عائد		adj		n
کیا		v		n
کہ		avy		n
وہ		pn		n
کسی		pn		n
اور		adj		n
شخص		n		n
کے		psp		n
ساتھ		nst		n
تعلقات		n		n
رکھتی		v		n
ہے		v		n
۔		punc		n
آج		n		n
شام		n		n
وہ		pn		n
اپنی		pn		n
منگیتر		n		n
کے		psp		n
گھر		n		n
گیا		v		n
اور		avy		n
بحث		n		n
کرتے		v		n
ہوئے		v		n
اس		pn		n
شخص		n		n
کا		psp		n
نام		n		n
ظاہر		adj		n
کرنے		v		n
کا		psp		n
مطالبہ		n		n
کیا		v		n
اور		avy		n
کہا		v		n
کہ		avy		n
اس		pn		n
کے		psp		n
ساتھ		nst		n
ابھی		pn		n
چل		v		n
کر		v		n
شادی		n		n
کر		v		n
لے		v		n
لیکن		avy		n
خاتون		n		n
نے		psp		n
انکار		n		n
کیا		v		n
اور		avy		n
چیخ		n		n
و		avy		n
پکار		n		n
سن		v		n
کر		v		n
لڑکی		n		n
کے		psp		n
والدین		n		n
اور		avy		n
دیگر		adj		n
ارکان		n		n
پہنچ		v		n
گئے		v		n
NULL		unk		n
جس		pn		n
پر		psp		n
برہم		adj		n
بھارت		n		n
نے		psp		n
لڑکی		n		n
اور		avy		n
اس		pn		n
کے		psp		n
والدین		n		n
پر		psp		n
چاقو		n		n
سے		psp		n
حملہ		n		n
کیا		v		n
۔		punc		n
لڑکی		n		n
کے		psp		n
گردن		n		n
اور		avy		n
ہاتھ		n		n
پر		psp		n
شدید		adj		n
زخم		n		n
آئے		v		n
۔		punc		n
والدین		n		n
معمولی		adj		n
زخمی		n		n
ہوئے		v		n
ہےں		v		n
۔		punc		n
کرشنا		n		n
چلڈرنس		n		n
ہاسپٹل		n		n
لکڑی		n		n
کا		n		n
پل		n		n
پر		psp		n
عالمی		adj		n
یوم		n		n
دمہ		n		n
کے		psp		n
موقع		n		n
پر		psp		n
3		n		n
مئی		n		n
کو		psp		n
صبح		n		n
8		num		n
بجے		n		n
بچوں		n		n
کے		psp		n
لئے		psp		n
مفت		adj		n
دمہ		n		n
چیک		n		n
اپ		n		n
کیمپ		n		n
منعقد		adj		n
کیا		v		n
جائےگا		v		n
۔		punc		n
رجسٹریشن		n		n
کے		psp		n
لئے		psp		n
040		num		n
-		punc		n
66838383		num		n
پر		psp		n
کال		n		n
کریں		v		n
۔		punc		n
ڈی		n		n
سی		n		n
پی		n		n
ساؤتھ		n		n
زون		n		n
کی		psp		n
حیثیت		n		n
سے		psp		n
مسٹر		avy		n
ونیت		n		n
برج		n		n
لال		n		n
نے		psp		n
آج		n		n
شام		n		n
اپنے		pn		n
عہدے		n		n
کا		psp		n
جائزہ		n		n
حاصل		n		n
کر		v		n
لیا		v		n
۔		punc		n
ڈی		n		n
سی		n		n
پی		n		n
ساؤتھ		n		n
زون		n		n
مدھو		n		n
سدھن		n		n
ریڈی		n		n
کی		psp		n
ترقی		n		n
کے		psp		n
بعد		nst		n
وہ		pn		n
انچارج		n		n
ڈی		n		n
سی		n		n
پی		n		n
کی		psp		n
حیثیت		n		n
سے		psp		n
خدمات		n		n
انجام		n		n
دے		v		n
رہے		v		n
تھے		v		n
۔		punc		n
مسٹر		avy		n
ونیت		n		n
برج		n		n
لال		n		n
نے		psp		n
آج		n		n
ان		pn		n
سے		psp		n
اپنے		pn		n
عہدے		n		n
کا		psp		n
جائزہ		n		n
حاصل		n		n
کر		v		n
لیا		v		n
۔		punc		n
ونیت		n		n
برج		n		n
لال		n		n
وئیزاک		n		n
رورل		n		n
کے		psp		n
ایس		n		n
پی		n		n
کی		psp		n
حیثیت		n		n
سے		psp		n
خدمات		n		n
انجام		n		n
دے		v		n
رہے		v		n
تھے		v		n
۔		punc		n
چینائی		n		n
سوپر		n		n
کنگس		n		n
کے		psp		n
بولرس		n		n
نے		psp		n
آج		n		n
بہترین		adj		n
مظاہرہ		n		n
کرتے		v		n
ہوئے		v		n
دکن		n		n
چارجرس		n		n
کے		psp		n
خلاف		adj		n
19		num		n
رنز		n		n
سے		psp		n
کامیابی		n		n
یقینی		adj		n
بنائی		v		n
۔		punc		n
سوہال		n		n
نے		psp		n
24		num		n
گیندوں		n		n
مےں		psp		n
جاریہ		adj		n
سیزن		n		n
کی		psp		n
تیزترین		avy		n
نصف		adj		n
سنچری		n		n
بنائی		v		n
لیکن		avy		n
ان		pn		n
کے		psp		n
آوٹ		n		n
ہونے		v		n
کے		psp		n
بعد		nst		n
میچ		v		n
چینائی		n		n
سوپر		n		n
کنگس		n		n
کے		psp		n
حق		n		n
مےں		psp		n
چلا		v		n
گیا		v		n
۔		punc		n
مقررہ		adj		n
20		num		n
اوورس		n		n
مےں		psp		n
165		num		n
رنز		n		n
بنانے		v		n
کے		psp		n
بعد		nst		n
ٹیم		n		n
نے		psp		n
حریف		adj		n
دکن		n		n
چارجرس		n		n
کو		psp		n
146		num		n
/		punc		n
8		num		n
پر		psp		n
محدود		adj		n
کر		v		n
دیا		v		n
۔		punc		n
سریش		n		n
رائنا		n		n
نے		psp		n
چینائی		n		n
سوپر		n		n
کنگس		n		n
کے		psp		n
لئے		psp		n
59		num		n
رنز		n		n
بنائے		v		n
جبکہ		avy		n
البی		n		n
مرکل		n		n
نے		psp		n
3		num		n
وکٹس		n		n
حاصل		n		n
کئے		v		n
۔		punc		n
کامیابی		n		n
کے		psp		n
لئے		psp		n
166		num		n
رنز		n		n
کا		psp		n
تعاقب		n		n
کرتے		v		n
ہوئے		v		n
دفاعی		adj		n
چمپئین		n		n
دکن		n		n
چارجرس		n		n
نے		psp		n
اچھی		adj		n
شروعات		n		n
کی		v		n
لیکن		avy		n
بعد		nst		n
مےں		psp		n
بیٹسمین		n		n
ناکام		adj		n
ہو		v		n
۔		punc		n
اےک		num		n
مرحلہ		n		n
پر		psp		n
دکن		n		n
چارجرس		n		n
کا		psp		n
اسکور		n		n
6.4		num		n
اوورس		n		n
مےں		psp		n
بنا		avy		n
کسی		pn		n
نقصان		n		n
سے		psp		n
71		num		n
رنز		n		n
ہو		v		n
