Word		Original_feature		Predicted_feature
صدر		0		UNK
تلگودیشم		0		UNK
مسٹر		UNK		UNK
این		0		UNK
چندرا		0		UNK
بابو		0		UNK
نائیڈو		0		0
نے		UNK		UNK
کڑپہ		0		0
کے		UNK		0
ضمنی		UNK		UNK
انتخابات		0		0
مےں		UNK		0
اضافی		UNK		UNK
فورسیس		0		UNK
کی		UNK		UNK
تعیناتی		0		0
کا		UNK		UNK
مطالبہ		0		0
کرتے		wA		UNK
ہوئے		yA		UNK
چیف		0		UNK
الیکشن		0		0
کمشنر		0		UNK
کو		UNK		UNK
مکتوب		0		UNK
روانہ		UNK		UNK
کیا		yA		0
۔		UNK		UNK
انہوں		0		0
نے		UNK		UNK
کڑپہ		0		0
کے		UNK		UNK
پارلیمانی		UNK		UNK
اور		UNK		UNK
پولی		0		0
ویندلہ		0		UNK
کے		UNK		UNK
اسمبلی		UNK		UNK
انتخابات		0		0
کو		UNK		UNK
صاف		UNK		UNK
و		UNK		UNK
شفاف		UNK		0
بنانے		nA		UNK
کے		UNK		UNK
لئے		UNK		UNK
زائد		UNK		UNK
پولیس		0		0
فورس		0		UNK
تعینات		0		UNK
کرنے		nA		UNK
کا		UNK		UNK
مطالبہ		0		0
کرتے		wA		UNK
ہوئے		yA		0
کہا		yA		UNK
کہ		UNK		UNK
ان		UNK		UNK
انتخابات		0		0
مےں		UNK		UNK
غیرسماجی		UNK		0
عناصر		0		UNK
کی		UNK		UNK
جانب		UNK		UNK
سے		UNK		UNK
بدامنی		0		0
پھیلائے		yA		UNK
جانے		nA		UNK
کا		UNK		UNK
خدشہ		0		0
ہے		hE		UNK
۔		UNK		UNK
مسٹر		UNK		UNK
نائیڈو		0		0
نے		UNK		UNK
اپنے		0		UNK
مکتوب		0		UNK
مےں		UNK		0
چیف		0		UNK
الیکشن		0		UNK
کمشنر		0		UNK
سے		UNK		0
NULL		UNK		UNK
خواہش		0		0
کی		yA		0
کہ		UNK		UNK
وہ		0		UNK
ہر		UNK		0
حلقہ		0		UNK
اسمبلی		0		0
مےں		UNK		UNK
علحدہ		UNK		UNK
علحدہ		UNK		UNK
فورس		0		0
کی		UNK		UNK
تعیناتی		0		0
کو		UNK		UNK
یقینی		UNK		0
بنانے		nA		UNK
کے		UNK		UNK
اقدامات		0		0
کریں		eM		UNK
تاکہ		UNK		0
آزادانہ		UNK		UNK
و		UNK		UNK
منصفانہ		UNK		0
انتخابات		0		UNK
کو		UNK		UNK
یقینی		UNK		UNK
بنایا		yA		UNK
جا		0		UNK
سکے		yA		UNK
۔		UNK		UNK
NULL		UNK		0
واضح		UNK		0
رہے		yA		0
کہ		UNK		UNK
گزشتہ		UNK		0
یوم		0		UNK
مسٹر		UNK		0
نائیڈو		0		UNK
پر		UNK		UNK
ضلع		0		UNK
کڑپہ		0		0
مےں		UNK		UNK
ہوئے		yA		UNK
حملہ		0		UNK
کے		UNK		UNK
بعد		UNK		UNK
مسٹر		UNK		UNK
نائیڈو		0		0
نے		UNK		UNK
اس		UNK		UNK
طرح		0		0
کے		UNK		UNK
واقعات		0		0
کا		UNK		UNK
حوالہ		0		0
دیتے		wA		UNK
ہوئے		yA		0
کہا		yA		UNK
کہ		UNK		UNK
ضلع		0		UNK
کڑپہ		0		0
مےں		UNK		UNK
