Word		Original_feature		Predicted_feature
صدر		3		3
تلگودیشم		3		3
مسٹر		UNK		3
این		3		3
چندرا		3		3
بابو		3		3
نائیڈو		3		3
نے		UNK		3
کڑپہ		3		3
کے		UNK		3
ضمنی		UNK		UNK
انتخابات		3		3
مےں		UNK		3
اضافی		UNK		3
فورسیس		3		3
کی		UNK		UNK
تعیناتی		3		3
کا		UNK		3
مطالبہ		3		3
کرتے		any		3
ہوئے		any		3
چیف		3		3
الیکشن		3		3
کمشنر		3		3
کو		UNK		3
مکتوب		3		3
روانہ		UNK		3
کیا		any		3
۔		UNK		3
انہوں		3h		3
نے		UNK		3
کڑپہ		3		3
کے		UNK		UNK
پارلیمانی		UNK		3
اور		UNK		3
پولی		3		3
ویندلہ		3		3
کے		UNK		UNK
اسمبلی		UNK		3
انتخابات		3		3
کو		UNK		UNK
صاف		UNK		3
و		UNK		3
شفاف		UNK		3
بنانے		any		3
کے		UNK		3
لئے		UNK		3
زائد		UNK		3
پولیس		3		3
فورس		3		3
تعینات		3		3
کرنے		any		3
کا		UNK		3
مطالبہ		3		3
کرتے		any		3
ہوئے		any		3
کہا		any		3
کہ		UNK		UNK
ان		3		UNK
انتخابات		3		3
مےں		UNK		3
غیرسماجی		UNK		3
عناصر		3		3
کی		UNK		3
جانب		3		3
سے		UNK		UNK
بدامنی		3		3
پھیلائے		any		3
جانے		any		3
کا		UNK		3
خدشہ		3		3
ہے		3		3
۔		UNK		3
مسٹر		UNK		3
نائیڈو		3		3
نے		UNK		3
اپنے		3h		3
مکتوب		3		3
مےں		UNK		3
چیف		3		3
الیکشن		3		3
کمشنر		3		3
سے		UNK		UNK
NULL		UNK		3
خواہش		3		3
کی		any		UNK
کہ		UNK		3
وہ		3		3
ہر		UNK		3
حلقہ		3		3
اسمبلی		3		3
مےں		UNK		3
علحدہ		UNK		3
علحدہ		UNK		3
فورس		3		3
کی		UNK		UNK
تعیناتی		3		3
کو		UNK		3
یقینی		UNK		3
بنانے		any		3
کے		UNK		UNK
اقدامات		3		3
کریں		any		3
تاکہ		UNK		3
آزادانہ		UNK		3
و		UNK		3
منصفانہ		UNK		UNK
انتخابات		3		3
کو		UNK		UNK
یقینی		UNK		3
بنایا		any		3
جا		any		3
سکے		any		3
۔		UNK		3
NULL		UNK		3
واضح		UNK		3
رہے		any		3
کہ		UNK		UNK
گزشتہ		UNK		3
یوم		3		3
مسٹر		UNK		3
نائیڈو		3		3
پر		UNK		3
ضلع		3		3
کڑپہ		3		3
مےں		UNK		3
ہوئے		any		3
حملہ		3		3
کے		UNK		UNK
بعد		3		3
مسٹر		UNK		3
نائیڈو		3		3
نے		UNK		3
اس		3		UNK
طرح		3		3
کے		UNK		3
واقعات		3		3
کا		UNK		3
حوالہ		3		3
دیتے		any		3
ہوئے		any		3
کہا		any		3
کہ		UNK		UNK
ضلع		3		3
کڑپہ		3		UNK
مےں		UNK		3
گروہ_واری		UNK		3
عناصر		3		3
انتخابات		3		3
مےں		UNK		3
دھاندلیوں		3		3
کی		UNK		UNK
منصوبہ_بندی		3		3
کر		any		3
رہے		any		3
ہیں		3		3
۔		UNK		UNK
انہوں		3h		3
نے		UNK		UNK
بتایا		any		3
کہ		UNK		3
جمہوریت		3		3
کی		UNK		UNK
بقاء		3		3
کے		UNK		3
لئے		UNK		3
یہ		3		3
ضروری		UNK		3
ہے		3		3
کہ		UNK		3
چیف		3		3
الیکشن		3		3
کمشنر		3		3
کی		UNK		UNK
جانب		3		3
سے		UNK		3
ان		3		UNK
انتخابات		3		3
کی		UNK		3
راست		UNK		3
نگرانی		3		3
اور		UNK		3
غنڈہ		UNK		3
عناصر		3		3
پر		UNK		3
کنٹرول		3		3
کے		UNK		3
لئے		UNK		3
سخت_ترین		UNK		3
انتظامات		3		3
کئے		any		3
جائیں		any		3
۔		UNK		3
مسٹر		UNK		3
نائیڈو		3		3
نے		UNK		3
سی		3		UNK
ای		3		3
سی		3		3
کو		UNK		3
روانہ_کردہ		UNK		3
مکتوب		3		3
مےں		UNK		3
اس		3		3
بات		3		3
کی		UNK		UNK
طرف		3		3
بھی		UNK		3
اشارہ		3		3
کیا		any		3
کہ		UNK		3
علاقے		3		3
مےں		UNK		3
وائی		3		3
ایس		3		3
جگن		3		3
موہن		3		3
ریڈی		3		3
کی		UNK		3
جانب		3		3
سے		UNK		UNK
بدعنوانیوں		3		3
و		UNK		UNK
بےقاعدگیوں		3		3
کے		UNK		UNK
ذریعہ		UNK		3
حاصل_کردہ		UNK		3
دولت		3		3
کے		UNK		UNK
استعمال		3		3
کے		UNK		UNK
ذریعہ		UNK		3
رائےدہندوں		3		3
کو		UNK		UNK
راغب		UNK		3
کرنے		any		3
کی		UNK		3
کوشش		3		3
کی		any		3
جا		any		3
رہی		any		3
ہے		3		3
جو		3		3
کہ		UNK		3
انتخابی		UNK		3
ضابطہ		3		3
اخلاق		3		3
کی		UNK		UNK
سنگین		UNK		3
خلاف_ورزی		3		3
ہے		3		3
-		UNK		3
برقی		UNK		3
شاک		3		3
کی		UNK		3
زد		3		3
مےں		UNK		3
آ		any		3
کر		any		3
اےک		UNK		3
11		UNK		3
سالہ		UNK		3
لڑکی		3		UNK
سجانا		3		3
ہلاک		UNK		3
ہو		any		UNK
گئی		any		3
NULL		UNK		3
واقعہ		3		3
نریڈ		3		3
میٹ		3		3
پولیس		3		3
اسٹیشن		3		3
حدود		3		UNK
مےں		UNK		UNK
کل		3		3
شام		3		3
پیش		3		3
آیا		any		3
۔		UNK		UNK
نریڈمیڈ		3		3
کے		UNK		3
ساکن		UNK		3
وینکٹیش		3		3
کی		UNK		3
لڑکی		3		3
سجاتا		3		3
6		UNK		3
ویں		UNK		UNK
جماعت		3		3
مےں		UNK		3
تعلیم		3		3
حاصل		3		3
کر		any		UNK
رہی		any		UNK
تھی		3		3
جو		3		UNK
کل		3		3
شام		3		3
اپنے		1		3
مکان		3		3
مےں		UNK		3
کام		3		3
کاج		3		3
کے		UNK		UNK
دوران		3		3
برقی		UNK		3
شاک		3		3
کی		UNK		3
زد		3		UNK
مےں		UNK		3
آ		any		3
گئی		any		3
۔		UNK		3
لڑکی		3		3
کو		UNK		3
فوری		UNK		3
طور		3		3
پر		UNK		3
قریبی		UNK		3
ہاسپٹل		3		3
سے		UNK		3
رجوع		3		3
کیا		any		3
گیا		any		UNK
جہاں		UNK		3
دوران		3		3
علاج		3		3
وہ		3		3
فوت		3		3
ہو		any		UNK
گئی		any		3
۔		UNK		3
پولیس		3		3
نریڈ		3		3
میٹ		3		3
نے		UNK		3
مقدمہ		3		3
درج		UNK		3
کر		any		3
لیا		any		3
ہے		3		3
اور		UNK		3
تحقیقات		3		3
جاری		UNK		3
ہےں		3		3
۔		UNK		3
اےک		UNK		3
شخص		3		3
نے		UNK		3
مبینہ		UNK		3
طور		3		3
پر		UNK		3
اپنی		1		3
منگیتر		3		3
اور		UNK		3
اس		3		3
کے		UNK		3
والدین		3		3
پر		UNK		3
چاقو		3		3
سے		UNK		3
حملہ		3		3
کر		any		3
کے		UNK		3
زخمی		UNK		3
کر		any		3
دیا		any		3
۔		UNK		UNK
پولیس		3		3
نے		UNK		3
بتایا		any		3
کہ		UNK		UNK
نوجوان		UNK		3
لڑکی		3		3
کی		UNK		3
پاک_دامنی		3		3
پر		UNK		3
شبہ		3		3
کرتے		any		3
ہوئے		any		UNK
حملہ		3		3
کیا		any		3
۔		UNK		UNK
ڈی		3		3
بھارت		3		3
کرشنا		3		3
خانگی		UNK		3
ملازم		3		3
جو		3		3
24		UNK		3
سالہ		UNK		3
خاتون		3		3
فروین		3		3
صنم		3		3
متعلم		UNK		3
ایم		3		3
کام		3		3
